"name","friends_count","screen_name","location","description","listed_count","followers_count","favourites_count","id","created_at","user_key","lang","verified","time_zone","statuses_count"
"Khloe Irving",859,"HiImKhloe","USA","Running back and forth forever between grief and high delight | problack | proguns | Always on point",13,909,2026,"1649487510","Tue Aug 06 05:08:41 +0000 2013","hiimkhloe","en",false,"Eastern Time (US & Canada)",1935
"Nick Luna",1262,"_NickLuna_","United States","Christian, Dad, Husband, Conservative. Trolls muted #tcot #PJNET",21,1457,2001,"1649967228","Tue Aug 06 10:16:28 +0000 2013","_nickluna_","en",false,"Pacific Time (US & Canada)",2100
"Messiah Haynes",2421,"IlikeBIGbuttand","United States","The only true wisdom is in knowing you know nothing!",27,2804,3939,"1650681522","Tue Aug 06 16:32:34 +0000 2013","ilikebigbuttand","en",false,"Eastern Time (US & Canada)",5554
"Thomas Lopez",551,"staywoke88","USA","Problem solver...",11,456,1117,"1651692980","Wed Aug 07 01:19:25 +0000 2013","staywoke88","en",false,"Eastern Time (US & Canada)",1637
"Cynthia Mary Hunter",451,"CynthiaMHunter","United States","Christian Conservative #ProConstitution #2A #ProLife #ProIsrael #CruzCrew #SOV #SOT #LoveFreedom #StandUnited",23,429,4532,"1651693646","Wed Aug 07 01:19:57 +0000 2013","cynthiamhunter","en",false,"Eastern Time (US & Canada)",2759
"Bossy Bo$$",806,"acejinev","NY","Very outspoken, but don't take it for anger. xoxo. Loving and welcoming to everyone!  #BlackLivesMatter #BlackToLive",11,900,1836,"1652138929","Wed Aug 07 05:22:21 +0000 2013","acejinev","en",false,"Eastern Time (US & Canada)",1725
"Anton Haynes",310,"AntonHayHay","USA","white people are the most blood thirsty savages the world has ever seen #BLM #ICantBreath",14,671,1849,"1652262638","Wed Aug 07 06:52:35 +0000 2013","antonhayhay","en",false,"Eastern Time (US & Canada)",1936
"Alec Moody",530,"AlecMooooody","USA","Love and respect all colors of skin. Teach respect, responsibility, and strength! #BlackLivesMatter  #StayWoke",23,905,3738,"1652987412","Wed Aug 07 13:58:59 +0000 2013","alecmooooody","en",false,"Eastern Time (US & Canada)",3420
"Jayda Stone",1196,"JaydaAstonishin","Florida","Aquarius. Queen Bey Stan. Happily Taken. carefree black gyal ✨",9,916,2191,"1653553555","Wed Aug 07 17:59:05 +0000 2013","jaydaastonishin","en",false,"Eastern Time (US & Canada)",1978
"̧M̧ȩļa̧ņi̧ņ",915,"melanymelanin","St Louis, MO","",10,963,2717,"1655194147","Thu Aug 08 11:23:24 +0000 2013","melanymelanin","en",false,"Eastern Time (US & Canada)",2121
"Nancy CAMPBELL",478,"IMissObama","","I already miss Barack Obama in 2k16 smth...",14,784,2088,"1656024374","Thu Aug 08 19:11:36 +0000 2013","imissobama","en",false,"Eastern Time (US & Canada)",2124
"Jeanne Mccarthy",3420,"JeanneMccarthy0","USA","Conservative domestic goddess devoted to God, Family, Country, praying daily for #America! #tcot #ccot #RepealObamacare.",35,3242,1863,"1656685598","Fri Aug 09 02:18:37 +0000 2013","jeannemccarthy0","en",false,"Eastern Time (US & Canada)",1999
"Jadon Dailey",1485,"DaileyJadon","US","You only live once, but if you do it right, once is enough",13,1753,1298,"1657694515","Fri Aug 09 12:38:08 +0000 2013","daileyjadon","en",false,"Eastern Time (US & Canada)",2299
"Adrienne",1548,"Adrienne_GG","USA","lucky I am))",15,1822,1010,"1657833811","Fri Aug 09 13:55:17 +0000 2013","adrienne_gg","en",false,"Eastern Time (US & Canada)",2083
"Laura Baeley",1160,"LauraBaeley","United States","Liberty's Torch Bearer and best friend. OPINIONS ARE MY OWN. Getting more conservative by the day because of bearing a torch for liberty!!",14,1073,1933,"1658202894","Fri Aug 09 17:24:31 +0000 2013","laurabaeley","en",false,"Eastern Time (US & Canada)",1946
"Bao Ham",836,"BaoBaeHam","USA","When I let go of what I am, I become what I might be.",12,1032,2420,"1658420976","Fri Aug 09 19:23:10 +0000 2013","baobaeham","en",false,"Eastern Time (US & Canada)",2004
"Travi$ Lane",931,"TravisRespek","USA","'As long as we try, maybe things will change' -pac #BlackLivesMatter #PrayForTheWorld",12,826,2384,"1658440730","Fri Aug 09 19:14:25 +0000 2013","travisrespek","en",false,"Eastern Time (US & Canada)",1875
"",,"USA_Gunslinger","","",,,,"4332740714","","usa_gunslinger","",,"",
"",,"BlackToLive","","",,,,"4840551713","","blacktolive","",,"",
"",,"Crystal1Johnson","","",,,,"4437233895","","crystal1johnson","",,"",
"",,"TEN_GOP","","",,,,"4224729994","","ten_gop","",,"",
"Jared Mallory",874,"MalloryJared","NY","I`m studing to earn much money in the future and i`m working to earn money for studing...",17,824,2145,"1659549972","Sat Aug 10 08:10:31 +0000 2013","malloryjared","en",false,"Eastern Time (US & Canada)",1811
"Sarah Richards",974,"iLoveSarahRich","USA","Just trying to love the life I'm living & the people in it
Btw #InWoke #BLM #BlackToLive",6,865,2021,"1660375034","Sat Aug 10 15:28:00 +0000 2013","ilovesarahrich","en",false,"Eastern Time (US & Canada)",1747
"Garret Simpson",1339,"GarrettSimpson_","USA","Conservative, but I like chatting with people of both sides of the political aisle #tcot",25,1588,1577,"1660771422","Sat Aug 10 19:27:26 +0000 2013","garrettsimpson_","en",false,"Eastern Time (US & Canada)",2010
"Kate Ritter",1320,"KateRitterrrr","USA","I am a True Conservative and I love my country with all my heart! Happily married....",54,1578,6797,"1661246144","Sun Aug 11 00:17:33 +0000 2013","kateritterrrr","en",false,"Eastern Time (US & Canada)",5347
"Ernest Rivers",864,"ErRivvvvers","USA","You do what you want when you poppin' #Thugger ☀️ #blacklivesmatter #DABBNATION Still wondering what Metro Boomin want some more of…",10,827,2263,"1662453998","Sun Aug 11 12:32:12 +0000 2013","errivvvvers","en",false,"Eastern Time (US & Canada)",1854
"Claudia",1723,"claudia42kern","USA","Lots of hobbies, prefer to lay in bed and do nothing ☺️",20,2102,1609,"1664988493","Mon Aug 12 12:28:59 +0000 2013","claudia42kern","en",false,"Eastern Time (US & Canada)",2574
"Elias Briggs",903,"EliasBrick","New York, USA","Tenured professor, Director of Black Church Studies, minister, activist, womanist theologian, displaced New Yorker, lover of words",6,820,2060,"1665377383","Mon Aug 12 15:33:31 +0000 2013","eliasbrick","en",false,"Eastern Time (US & Canada)",2047
"Pam Daniels",549,"PamBLMDaniels","USA","Smart, strong, sensual woman
#BlackLivesMatter activist",24,943,2530,"1666030405","Mon Aug 12 20:50:57 +0000 2013","pamblmdaniels","en",false,"Eastern Time (US & Canada)",2478
"Curtis Burrell",2896,"CurtisBigMan","Baltimore","Big Man!",32,3143,3721,"1668307436","Tue Aug 13 17:05:52 +0000 2013","curtisbigman","en",false,"Eastern Time (US & Canada)",5510
"Rick Shafer",3191,"deusXYX","USA","Freedom & Liberty Warrior Constitutional Conservative. USAF Veteran 316/46150 under Ronald Reagan. Levin #1 #Israel #PJNET",36,2694,1021,"1669574551","Wed Aug 14 05:02:51 +0000 2013","deusxyx","en",false,"Eastern Time (US & Canada)",1703
"Javon Grayson",456,"JavonHIDP","USA","The best time to plant a tree was 20 years ago. The second best time is now.",18,841,4438,"1670149272","Wed Aug 14 10:44:06 +0000 2013","javonhidp","en",false,"Eastern Time (US & Canada)",3479
"Alexander Massey",854,"Siccerthanyou","USA","siccer than your average, boi #blm #BlackLivesMatter #StayWoke #BlackToLive",13,941,2313,"1670318690","Wed Aug 14 11:53:20 +0000 2013","siccerthanyou","en",false,"Eastern Time (US & Canada)",2039
"Susan",2159,"hyddrox","USA","~Reagan Conservative ~Jesus Lover ~PRO-Israel ~PRO-2A ~PRO-Life ~PRO-Constitution ~Support Police & Military #RenewUS #PJNET #TCOT #CruzCrew #WakeUpAmerica",72,2225,8748,"1671234620","Wed Aug 14 19:07:30 +0000 2013","hyddrox","en",false,"Eastern Time (US & Canada)",10242
